Game,Year,Units sold(in millions),GameRankings,Metacritic
Pokémon Red and Blue,1996,31.37[70],88%[71][72],-
Pokémon Yellow,1998,14.64[70],85%[73],-
Pokémon Gold and Silver,1999,23.73[74],90%[75][76],-
Pokémon Crystal,2000,6.39[70],80%[77],-
Pokémon Ruby and Sapphire,2002,16.22[78],84%[79][80],82/100[81]
Pokémon FireRed and LeafGreen,2004,12[78],81%[82][83],81/100[84][85]
Pokémon Emerald,2004,6.32[86],77%[87],76/100[88]
Pokémon Diamond and Pearl,2006,17.67[89],85%[90][91],85/100[92][93]
Pokémon Platinum,2008,7.06[94],83%[95],84/100[96]
Pokémon HeartGold and SoulSilver,2009,12.72[89],88%[97][98],87/100[99][100]
Pokémon Black and White,2010,15.64[89],86%[101][102],87/100[103][104]
Pokémon Black 2 and White 2,2012,7.63[105],81%[106][107],80/100[108][109]
Pokémon X and Y,2013,16.45[110],87%[111][112],87/100[113][114]
Pokémon Omega Ruby and Alpha Sapphire,2014,14.27[110],84%[115][116],83/100[117]
Pokémon Sun and Moon,2016,16.18[110],88%[118][119],87/100[120][121]
Pokémon Ultra Sun and Ultra Moon,2017,8.77[110],83%[122][123],84/100[124][125]
"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",2018,15.07[126],78%[127][128],80/100[129][130]
Pokémon Sword and Shield,2019,26.02[126],83%[131],80/100[132][133]
Pokémon Brilliant Diamond and Shining Pearl,2021,14.92[126],-,73/100[134]
Pokémon Legends: Arceus,2022,14.83[126],-,83/100[135]
Pokémon Scarlet and Violet,2022,23.23[126],-,72/100[136][137]
